Final Event Number,Date & Time Reported,Date and Time Occurred,Log Type,category,Location,State,Status,Remarks
2012-0000641,1/17/12,1/17/2012 12:53:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,HAUSER HALL 1575 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an individual acting suspiciously inside of the building. Officers arrived and report the individual had authorization to be there and was not suspicious.
2012-0000642,1/17/12,1/17/2012  2:26:00PM,UNWANTED GUEST,Suspicious activity,GREENOUGH HALL EAST 10 PRESCOTT ST,MA,CLOSED,Officer dispatched to a report that an individual piggybacked into the building. Officer arrived and searched the area for the individual with negative results.
2012-0000643,1/17/12,1/17/2012  3:19:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,SFP SOLDIERS FIELD PARK 01 111 WESTERN AVE,MA,CLOSED,Officer dispatched to a report that an individual called another individual and stated they had a delivery for them. The reporting party stated when they went to the entrance no one was there. Officer arrived and determined that a delivery was scheduled and all was in order.
2012-0000645,1/17/12,1/17/2012  4:08:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,GOLDENSON BUILDING 1 220-1 LONGWOOD AVE,MA,CLOSED,Officers dispatched to a report that an individual was attempting to gain access to the building using someone else's identification card. Officers arrived and spoke to the individual and advised them on the rules to enter the building. Officers confiscated the identification card.
2012-0000647,1/17/12,1/17/2012  5:38:00PM,MOTOR VEHICLE ACCIDENT,Other, GORDON RD / N HARVARD ST,MA,CLOSED,Officers dispatched to take a report of a motor vehicle accident with no personal injuries.
2012-0000663,1/18/12,1/18/2012  9:03:00AM,UNWANTED GUEST,Suspicious activity,LAW SCHOOL PROJECT OFFICES 125 MT AUBURN ST,MA,CLOSED,Officers dispatched to a report of an unwanted guest sleeping in the alley. Officers arrived and sent the individual on their way.
2012-0000664,1/18/12,1/18/2012  9:29:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,GOLDENSON BUILDING 1 220-1 LONGWOOD AVE,MA,CLOSED,Officer dispatched to a report of suspicious activity. Upon arrival the officer was informed that an individual attempted to utilize another individual's identification card to gain access to the building. The individual had left the area before the officers arrival. The identification card was returned to its rightful owner.
2012-0000671,1/18/12,1/18/2012 12:35:00PM To 12:49:00PM,ASSIST CAMBRIDGE POLICE,Other, 2 GARDEN ST,MA,CLOSED,Officers assisted CPD with a report of a motor vehicle accident with no personal injuries.
2012-0000679,1/18/12,1/18/2012  3:41:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,COUNTWAY LIBRARY 10 SHATTUCK ST,MA,CLOSED,Officers dispatched to a report that an individual with a trespass warning was attempting to gain access to the building. Officers arrived and sent the individual on their way.
2012-0000683,1/18/12,1/1/2011 To 1/1/2012 1:00:00AM To  1:00:00AM,THEFT REPORT,Theft,8 STORY ST ,MA,CLOSED,"Officer dispatched to take a report of a theft. Upon arrival the reporting individual informed the officer 4 vacuum cleaners valued at $1,200.00, 10 cases of plastic bags valued at $300.00, 3 cases of various cleaning supplies valued at $240.00 and 3 wet mop buckets valued at $120.00 were stolen."
2012-0000685,1/18/12,1/2/2012 To 1/5/2012 2:30:00PM To 10:30:00PM,LOST PROPERTY,Theft,SEELY MUDD BUILDING 250 LONGWOOD AVE,MA,CLOSED,"Officer dispatched to take a report that 23 boxes of air handling filters valued at $1,100.00 were stolen.
UPDATE 1/31/12: The filters were located in tact and not stolen. This report has been reclassified from Theft Report to Lost Property."
2012-0000690,1/18/12,1/18/2012  3:49:00PM,DEMONSTRATION,Disturbance,JOHN HARVARD STATUE 1 HARVARD YARD,MA,CLOSED,Officer stood by during a demonstration that went without incident.
2012-0000692,1/18/12,1/18/2012  5:45:00PM To  8:00:00PM,THEFT REPORT,Theft,GUND HALL 48 QUINCY ST,MA,CLOSED,"Officer dispatched to take a report of a stolen silver Apple MacBook Pro valued at $1,500.00."
2012-0000693,1/18/12,1/1/2012 To 1/18/2012 8:17:00PM To  8:17:00PM,HARASSMENT,Harassment,UHS UNIVERSITY HEALTH SERVICES 75 MT AUBURN ST,MA,CLOSED,Officer dispatched to take a report of on-going harassment.
2012-0000699,1/19/12,1/19/2012 12:15:00AM,ASSIST CAMBRIDGE POLICE,Other, MILL ST / PLYMPTON ST,MA,CLOSED,"Officer assisted CPD in taking a report of a stolen black and red backpack valued at $100.00 that contained assorted clothing, energy mixers, sunglasses valued at $125.00, identification cards and assorted tennis equipment valued at $1160.00."
2012-0000706,1/19/12,1/19/2012  8:54:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,8 STORY ST ,MA,CLOSED,Officers approached about two individuals acting suspiciously behind the building. Officers searched the area for the individuals with negative results.
2012-0000715,1/19/12,1/12/2012 To 1/17/201212:00:00PM To  8:00:00AM,THEFT REPORT,Theft, 50 CHURCH ST,MA,CLOSED,"Officer dispatched to take a report of a stolen black Dell laptop computer valued at $1000.00 and an Apple laptop computer charger valued at $60.00.
UPDATE 5/8/12: Pending any further information this case is closed."
2012-0000721,1/19/12,1/19/2012  2:08:00PM,SUSPICIOUS MAIL/ PACKAGE/BAG,Suspicious activity,WARREN ALPERT BUILDING 200 LONGWOOD AVE,MA,CLOSED,Officer dispatched to a report of a suspicious package outside of the building. Officer reports packages are not suspicious and all is in order.
2012-0000725,1/19/12,1/19/2012  3:45:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,CGIS - SOUTH 1730 CAMBRIDGE ST,MA,CLOSED,Officers dispatched to a report of an individual acting suspiciously inside of the building. Officers arrived and report the individual was just looking for directions to the bus stop. Officers directed the individual and report all is in order.
2012-0000726,1/19/12,1/19/2012  3:59:00PM,HARASSMENT,Harassment,VANSERG BUILDING 29 FRANCIS AVE,MA,CLOSED,"Officer dispatched to take a report of an individual receiving harassing calls and text messages.
UPDATE 11/15/12: Pending further investigation this case is closed."
2012-0000741,1/19/12,12/29/2011 To 1/15/201212:00:00PM To 10:00:00AM,THEFT REPORT,Theft,HOLDEN GREEN 305 305 HOLDEN ST,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured black and silver iPod Nano valued at $150.00.
2012-0000747,1/20/12,1/20/2012  1:07:00AM,REMOVE GROUP,Other,MATTHEWS HALL NORTH 9 HARVARD YARD,MA,CLOSED,Officer dispatched to a report of approximately twelve individuals playing in the snow and being loud. Officer arrived and sent the individuals on their way.
